time, Quad.IMU.AX
0.005000,0.143543
0.010000,-0.840803
0.015000,0.020112
0.020000,-0.815722
0.025000,0.888412
0.030000,-0.285452
0.035000,-1.130639
0.040000,-0.494642
0.045000,0.119913
0.050000,-0.384372
0.055000,0.407486
0.060000,-0.060227
0.065000,-0.351838
0.070000,-0.892240
0.075000,-0.595390
0.080000,-0.018957
0.085000,-0.375465
0.090000,-0.205326
0.095000,-0.533864
0.100000,0.121762
0.105000,-0.390042
0.110000,-0.012265
0.115000,-0.054473
0.120000,-0.596044
0.125000,-0.977557
0.130000,0.499662
0.135000,-0.204600
0.140000,0.085941
0.145000,0.659958
0.150000,-0.161865
0.155000,-0.211823
0.160000,0.682683
0.165000,0.464169
0.170000,-0.986354
0.175000,0.265369
0.180000,0.392272
0.185000,-0.342501
0.190000,0.201272
0.195000,0.495212
0.200000,0.183183
0.205000,-0.388438
0.210000,0.180651
0.215000,0.541380
0.220000,-0.042550
0.225000,-0.019517
0.230000,0.565458
0.235000,-0.096916
0.240000,0.580145
0.245000,0.108427
0.250000,-0.623614
0.255000,0.170493
0.260000,1.104830
0.265000,-0.251906
0.270000,0.582835
0.275000,-0.361715
0.280000,-0.106701
0.285000,0.169183
0.290000,-1.098056
0.295000,0.113491
0.300000,0.257303
0.305000,-0.523277
0.310000,-0.285377
0.314999,-0.308740
0.319999,0.046678
0.324999,-0.525143
0.329999,-0.055716
0.334999,0.024442
0.339999,0.900055
0.344999,-0.149828
0.349999,1.061598
0.354999,0.410543
0.359999,-0.983618
0.364999,-0.593549
0.369999,0.004573
0.374999,-0.024925
0.379999,0.418470
0.384999,-0.390258
0.389999,0.975883
0.394998,-0.439162
0.399998,0.545094
0.404998,-0.471494
0.409998,0.053442
0.414998,-0.080595
0.419998,0.287987
0.424998,-0.034816
0.429998,0.107584
0.434998,0.038691
0.439998,0.249931
0.444998,0.145146
0.449998,0.033183
0.454998,0.129581
0.459998,-0.528709
0.464998,0.341526
0.469997,-0.489207
0.474997,-1.591425
0.479997,-0.659753
0.484997,0.661067
0.489997,-0.116151
0.494997,-0.742588
0.499997,-0.937092
0.504997,0.309459
0.509997,-0.027969
0.514997,0.141795
0.519997,-0.053729
0.524997,-0.206495
0.529997,0.423602
0.534997,-0.440562
0.539997,-0.929728
0.544997,0.323101
0.549996,0.312310
0.554996,0.083992
0.559996,0.865535
0.564996,0.510260
0.569996,1.274786
0.574996,0.188207
0.579996,-0.592059
0.584996,-0.161008
0.589996,-0.680702
0.594996,0.145731
0.599996,-0.059485
0.604996,0.318789
0.609996,-0.258811
0.614996,-0.046313
0.619996,-0.559905
0.624996,0.167153
0.629995,0.486647
0.634995,0.131546
0.639995,-0.968240
0.644995,-0.571043
0.649995,0.580562
0.654995,0.117378
0.659995,-0.381274
0.664995,0.031948
0.669995,-0.413264
0.674995,-0.121964
0.679995,0.092052
0.684995,0.661941
0.689995,-0.081210
0.694995,-0.051616
0.699995,0.341703
0.704994,0.894466
0.709994,0.420368
0.714994,0.100593
0.719994,-0.276141
0.724994,-0.501347
0.729994,-0.024798
0.734994,0.490338
0.739994,-0.142152
0.744994,-0.187764
0.749994,0.000169
0.754994,0.094288
0.759994,0.471938
0.764994,0.754896
0.769994,-0.089145
0.774994,0.321432
0.779994,-0.321500
0.784993,-0.199211
0.789993,-0.421565
0.794993,-0.432170
0.799993,-0.248816
0.804993,-0.093238
0.809993,-0.535777
0.814993,-0.549238
0.819993,0.209115
0.824993,-0.251591
0.829993,0.003513
0.834993,-0.271520
0.839993,0.187513
0.844993,0.967133
0.849993,0.626444
0.854993,-0.369979
0.859993,-0.509411
0.864992,0.234522
0.869992,0.279515
0.874992,-0.489361
0.879992,-0.052754
0.884992,0.207282
0.889992,0.278148
0.894992,0.519316
0.899992,-0.492267
0.904992,0.194260
0.909992,-0.553999
0.914992,0.570975
0.919992,0.558863
0.924992,-0.419014
0.929992,-0.867726
0.934992,0.196469
0.939991,0.828847
0.944991,0.191062
0.949991,-1.337353
0.954991,-0.442944
0.959991,-0.354407
0.964991,0.125094
0.969991,0.009953
0.974991,-0.034659
0.979991,-0.331000
0.984991,-0.313582
0.989991,-0.023281
0.994991,-0.512682
0.999991,-0.027525
1.004991,0.496394
1.009991,-0.165649
1.014991,0.544462
1.019992,-0.088377
1.024992,-0.864653
1.029992,-0.794859
1.034992,-0.153052
1.039993,0.946128
1.044993,0.636342
1.049993,0.124937
1.054993,0.427110
1.059994,0.296845
1.064994,-1.476753
1.069994,0.291914
1.074994,0.251110
1.079994,0.189803
1.084995,0.086198
1.089995,-0.086612
1.094995,0.144904
1.099995,-0.392211
1.104996,0.430158
1.109996,-0.313728
1.114996,-0.268370
1.119996,0.824637
1.124997,0.623782
1.129997,0.177947
1.134997,-0.236573
1.139997,-0.144281
1.144997,0.159447
1.149998,0.284812
1.154998,-0.243869
1.159998,0.471285
1.164998,-0.039248
1.169999,0.060395
1.174999,-1.007129
1.179999,0.395600
1.184999,-1.684452
1.190000,0.236409
1.195000,0.474182
1.200000,0.670353
1.205000,-1.367900
1.210001,-0.660099
1.215001,0.311511
1.220001,-0.192113
1.225001,-0.414117
1.230001,0.448393
1.235002,-0.475098
1.240002,0.083723
1.245002,-0.757140
1.250002,0.061562
1.255003,-0.207987
1.260003,0.583529
1.265003,0.109426
1.270003,1.067759
1.275004,0.286803
1.280004,0.230800
1.285004,-1.088694
1.290004,-0.144743
1.295004,-0.506458
1.300005,-0.604998
1.305005,-0.203729
1.310005,0.403546
1.315005,-0.474464
1.320006,0.047557
1.325006,-0.923100
1.330006,1.498059
1.335006,0.012301
1.340007,0.074608
1.345007,-0.266048
1.350007,0.688638
1.355007,-0.644527
1.360008,-0.303168
1.365008,-0.179013
1.370008,0.396174
1.375008,-0.275440
1.380008,-0.485322
1.385009,0.596166
1.390009,0.624637
1.395009,-0.770980
1.400009,-0.593909
1.405010,-0.016186
1.410010,0.701787
1.415010,0.248395
1.420010,-0.391843
1.425011,0.132154
1.430011,0.879424
1.435011,0.385116
1.440011,-0.460256
1.445011,-0.569295
1.450012,0.673888
1.455012,-0.005141
1.460012,-0.573887
